,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance
,DBSCAN,DBSCAN,DBSCAN,DBSCAN,DBSCAN,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,CBA,CBA,CBA,CBA,CBA,DSCluster-Assoc,DSCluster-Assoc,DSCluster-Assoc,DSCluster-Assoc,DSCluster-Assoc,DSCluster_0,DSCluster_0,DSCluster_0,DSCluster_0,DSCluster_0,DSCluster_1,DSCluster_1,DSCluster_1,DSCluster_1,DSCluster_1,DSCluster_2,DSCluster_2,DSCluster_2,DSCluster_2,DSCluster_2,DSCluster_3,DSCluster_3,DSCluster_3,DSCluster_3,DSCluster_3,DSCluster_4,DSCluster_4,DSCluster_4,DSCluster_4,DSCluster_4,DSCluster_5,DSCluster_5,DSCluster_5,DSCluster_5,DSCluster_5,DSCluster_6,DSCluster_6,DSCluster_6,DSCluster_6,DSCluster_6,DSCluster_7,DSCluster_7,DSCluster_7,DSCluster_7,DSCluster_7,DSCluster_8,DSCluster_8,DSCluster_8,DSCluster_8,DSCluster_8,DSCluster_9,DSCluster_9,DSCluster_9,DSCluster_9,DSCluster_9
12,,,1312,0.3856078947451086,0.0,8,5.016006097560975,312.0,0.2713855974821225,0.16770734497962828,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.2535211267605635,776.0,0.4278773722868314,0.20152183215195996,4,3.3271375464684017,802.0,0.45249363100706386,0.18680350133020782,4,3.325465838509317,802.0,0.45541382154049737,0.1886139327640416,4,3.4440389294403895,818.0,0.45535160067891145,0.1815884820747521,4,3.341818181818182,813.0,0.45264709326354524,0.1828652025078603,4,3.448609431680774,823.0,0.4626345736163722,0.18215707614742052,4,3.324626865671642,804.0,0.4552270810695176,0.1872825621848896,4,3.2883211678832116,811.0,0.45343508434648644,0.18274660006325463,4,3.338611449451888,811.0,0.4538844827508193,0.1900546036352812,4,3.2934782608695654,820.0,0.47049919062398815,0.18800231623597702,4,3.276885043263288,803.0,0.45576427267475145,0.18686861639783445
13,,,1312,0.3856078947451086,0.0,9,5.139481707317073,522.0,0.312704200176512,0.13176382764971814,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.2924757281553396,814.0,0.426662652851337,0.1906057561719782,4,3.359669811320755,843.0,0.45121365386625156,0.1780315715056464,4,3.358156028368794,843.0,0.45077616449617836,0.17941294115458317,4,3.471064814814815,860.0,0.4536651261188315,0.17233400308831465,4,3.325635103926097,854.0,0.45154771261177,0.17375955796171233,4,3.4734411085450345,862.0,0.45986316441864705,0.17304212944875444,4,3.3566350710900474,844.0,0.4537352439528822,0.17851528343658724,4,3.3229166666666665,853.0,0.45218454898638727,0.17349212107681716,4,3.3693379790940767,851.0,0.4524955341861085,0.1790548082826366,4,3.326812428078251,861.0,0.465984091990726,0.17684670982865436,4,3.3109540636042403,843.0,0.45253837826225857,0.17824086993730348
14,,,1312,0.3856078947451086,0.0,9,5.264481707317073,692.0,0.328353838205768,0.10598756302208331,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.31892523364486,846.0,0.4298331589506308,0.17949898606537554,4,3.3450226244343892,879.0,0.4397081750255945,0.16490855984074715,4,3.3431483578708945,879.0,0.4366285706317182,0.16972242376886013,4,3.450719822812846,899.0,0.44147568876519167,0.15791334114714145,4,3.3116022099447515,893.0,0.43948899406668546,0.15929354802701345,4,3.495575221238938,900.0,0.45584585391898935,0.16245976819035926,4,3.3408833522083805,883.0,0.44123778586178697,0.16395857751483695,4,3.352159468438538,892.0,0.4400901287364274,0.1591168071291697,4,3.3537263626251392,889.0,0.44061600596609163,0.16511436996520995,4,3.312087912087912,902.0,0.4527326467875619,0.16159117969898235,4,3.298305084745763,879.0,0.4384187890216037,0.16888523004223177
15,,,1312,0.3856078947451086,0.0,9,5.339939024390244,852.0,0.3504894323125869,0.07715089021599598,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.342728297632469,877.0,0.43152025006091055,0.16861314208107755,4,3.3754045307443366,915.0,0.44193382814799187,0.15559477963200685,4,3.368879216539717,915.0,0.42614982485879255,0.15655755241762945,4,3.4740190880169672,932.0,0.4431749977718175,0.1492030380830124,4,3.3,927.0,0.42739688596832104,0.14997395397294935,4,3.475583864118896,938.0,0.4443746503925019,0.14843095942401072,4,3.3275299238302503,919.0,0.42811281950441743,0.15447735856077097,4,3.370967741935484,925.0,0.44045746277912823,0.15216344812189542,4,3.3805970149253732,927.0,0.44190258211226174,0.15099719074993953,4,3.341745531019979,943.0,0.4442553170977559,0.146049608379379,4,3.2866449511400653,915.0,0.42784803671171884,0.1557203586910011
16,,,1312,0.3856078947451086,0.0,9,5.429115853658536,967.0,0.33547061012496904,0.0664801585086789,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.36353711790393,906.0,0.4362612907566139,0.15741800152555302,4,3.398128898128898,950.0,0.4404884756509328,0.14509497497720972,4,3.3907563025210083,948.0,0.42569866873077394,0.14635076556715224,4,3.4579918032786887,965.0,0.4412833795942764,0.139226479507358,4,3.325128205128205,962.0,0.4268587315920923,0.1392299678145523,4,3.4594871794871795,971.0,0.44184824211649004,0.13787883016129932,4,3.3515215110178382,953.0,0.42721259907483294,0.1441391788059757,4,3.357142857142857,960.0,0.42863557181353884,0.14146015888076502,4,3.3282051282051284,963.0,0.4288063260502016,0.13950670685196553,4,3.3286147623862488,981.0,0.43153664944190206,0.1339649494893118,4,3.312041884816754,949.0,0.4269462599873648,0.14550078138081152
17,,,1312,0.3856078947451086,0.0,9,5.516006097560975,1082.0,0.34636196096484045,0.043908485423527,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.3542553191489364,930.0,0.43617108826068346,0.1501204628751093,4,3.3841524573721165,985.0,0.428290140999043,0.13317077821807966,4,3.378818737270876,978.0,0.42445076720062197,0.13597305166415508,4,3.4746772591857003,996.0,0.4399043949227174,0.12870109393313614,4,3.346573982125124,994.0,0.43110269060845263,0.12603951554389686,4,3.475621890547264,1001.0,0.44049655737165183,0.12718716861081655,4,3.378894472361809,983.0,0.42889965178425893,0.13390099719074994,4,3.403458213256484,991.0,0.430649039449455,0.1307905899425127,4,3.3482587064676617,993.0,0.42773884045499816,0.12878016222953992,4,3.350293542074364,1014.0,0.42996673962015697,0.12210819333593793,4,3.3627546071774974,980.0,0.42897026604404476,0.13501144164759726
18,,,1312,0.3856078947451086,0.0,9,5.558689024390244,1202.0,0.3645835650713911,0.020885657941247606,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.370331950207469,954.0,0.43280963150069746,0.1410090044836375,4,3.4033041788143827,1015.0,0.4322027629001244,0.12108379378988297,4,3.396636993076162,1005.0,0.4283797494670529,0.12511046306115234,4,3.489874638379942,1026.0,0.44310722818148796,0.11640481107328236,4,3.3365477338476373,1024.0,0.4297920142090303,0.11569668471284256,4,3.4596153846153848,1029.0,0.4325914705362014,0.1162641160164462,4,3.3678048780487804,1013.0,0.4279223859042713,0.12261632341723874,4,3.3917910447761193,1022.0,0.42980753620510936,0.1190035999330245,4,3.3683702989392477,1023.0,0.4317731506997744,0.11658852858551469,4,3.3399810066476734,1045.0,0.429040680818328,0.1098165615523432,4,3.3836772983114445,1009.0,0.42981415304597237,0.12418722442373165
19,,,1312,0.3856078947451086,0.0,9,5.657774390243903,1232.0,0.3707115109567081,0.014962512325352086,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.3850050658561295,977.0,0.42821013225809573,0.1314347640043906,4,3.391879131255902,1045.0,0.4306689087565881,0.1097293538724861,4,3.3866923818707813,1031.0,0.4228514082656144,0.11384904466893639,4,3.4548022598870056,1051.0,0.40652871298919513,0.11605598035385388,4,3.3582089552238807,1051.0,0.43052655268047146,0.10549338616955964,4,3.4732895970009374,1056.0,0.43532129332044983,0.10527594835444921,4,3.335238095238095,1038.0,0.3927649513689766,0.12226749269781027,4,3.382862351868733,1047.0,0.3934469282094944,0.11865476921359602,4,3.35868544600939,1051.0,0.43039767239178506,0.10563291845733103,4,3.3320964749536177,1070.0,0.3937173445128592,0.10946773083291474,4,3.373857404021938,1037.0,0.4277268346032706,0.11280836635597477
20,,,1312,0.3856078947451086,0.0,10,5.749237804878049,1232.0,0.3707115109567081,0.014962512325352086,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.399009900990099,1000.0,0.42891239889104604,0.12381281278487842,4,3.408631772268136,1070.0,0.43196589735011637,0.0994679168759651,4,3.354048964218456,1056.0,0.38814329873190984,0.11350021394950792,4,3.442713107241063,1076.0,0.4008658462983935,0.10675382783576119,4,3.385165326184093,1077.0,0.4318617719925899,0.09486683968670351,4,3.4395604395604398,1081.0,0.40058603121973774,0.10492711763502074,4,3.3513011152416357,1063.0,0.3965556196448173,0.11200605570128928,4,3.405096660808436,1072.0,0.39455532968168827,0.10833519376383695,4,3.3275229357798164,1076.0,0.3957642700851988,0.10528408773790256,4,3.358288770053476,1094.0,0.39736388460170785,0.09963070454503171,4,3.362910381543922,1064.0,0.42270968663127245,0.10194577775297203
21,,,1312,0.3856078947451086,0.0,11,5.759908536585366,1262.0,0.37790716324483503,0.008983553794348013,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.390882638215325,1021.0,0.42517967139802837,0.11631644062436047,4,3.3770197486535007,1095.0,0.3975481067016713,0.09911908615653663,4,3.3689052437902482,1080.0,0.3901750941862318,0.10444456847314469,4,3.4657293497363795,1100.0,0.4027811093565274,0.0971400532083124,4,3.3497797356828194,1099.0,0.3981178359086255,0.09750399992558278,4,3.4301075268817205,1105.0,0.39653114212644314,0.09444824282338933,4,3.3723021582733814,1087.0,0.3985236204536185,0.10222484232851482,4,3.4173838209982788,1096.0,0.39817913162458607,0.09877723205149672,4,3.343777976723366,1099.0,0.3962673508614955,0.09592379676657178,4,3.37117903930131,1117.0,0.3980982584617558,0.08978902718088966,4,3.3333333333333335,1089.0,0.3885884017354018,0.10159694703354356
22,,,1312,0.3856078947451086,0.0,11,5.819359756097561,1272.0,0.3800836919658548,0.006995218693605701,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.4024738344433874,1041.0,0.42239030040583664,0.10821194024297222,4,3.3693931398416885,1118.0,0.3935987097934091,0.08914369034994697,4,3.3955947136563878,1103.0,0.3922615923034275,0.09513776487879295,4,3.4565030146425495,1123.0,0.3988236869399114,0.08700419527078566,4,3.342832469775475,1122.0,0.3942651663281684,0.08747511674201411,4,3.4411247803163443,1127.0,0.39353265701912576,0.08425424643262451,4,3.385022026431718,1110.0,0.3940809080475632,0.09214247176796711,4,3.436303080766028,1119.0,0.4015967643271132,0.08898904206433368,4,3.3344947735191637,1121.0,0.3926703830789273,0.08631816152257632,4,3.3994995829858214,1138.0,0.4013586618217016,0.08063222079589218,4,3.34749362786746,1114.0,0.39236640735440736,0.09078319473126081
