,clustering-distance,clustering-distance,clustering-distance,clustering-distance,clustering-distance
,Decision-Tree,Exp-Tree,CBA,DSCluster-Assoc,DSCluster
30,0.019010231726242142,0.04053236539624924,0.03506595272299856,0.03509860258586914,0.11601473346439789
31,0.018951050790394275,0.041630500539204085,0.03789613406338145,0.03744181339809755,0.09359272164150213
32,0.017484678713274943,0.04082169441594992,0.04123307091364281,0.04096200980392157,0.09433146924250127
33,0.018378968410531576,0.03686972303322023,0.03338152610441767,0.033294468195362095,0.10606060606060606
34,0.016386543570320104,0.03832294379126226,0.04575021007749525,0.045140849488675576,0.0983399209486166
35,0.017418922117888425,0.03648833477997843,0.04049814919380137,0.04031872509960159,0.10914361001317523
36,0.01911544227886057,0.039421078934217105,0.03551087734586536,0.03551087734586536,0.10471070148489503
37,0.018615692153923037,0.04020358241931666,0.04176950825897095,0.04146379163768452,0.11442216320265101
38,0.01911544227886057,0.037671953496935744,0.043683296103251425,0.04376743188157048,0.10405946255002858
39,0.019325863384097426,0.038145400983718665,0.03638763197586727,0.03564889308106309,0.10696289509848832
40,0.016235303400931114,0.03899366106420474,0.033051792828685256,0.0320595108785096,0.1039005032907472
41,0.01671532654725269,0.03646203214182382,0.04469226899211806,0.04485933935963504,0.10508474576271186
42,0.016662721270943474,0.03696835792630001,0.031170797537934895,0.03086112493777999,0.11205119089939566
43,0.016807385780793813,0.039440805912833055,0.036127836961556276,0.034939606652754064,0.07868403334029858
44,0.017451800415581684,0.0386583024277335,0.03829993535875889,0.03808343659644775,0.09887673302307448
45,0.017464951734658986,0.03784949630447934,0.03405425915386075,0.033734939759036145,0.11343873517786561
46,0.017340014203424604,0.03757331860385597,0.03544223107569721,0.03540562248995984,0.08430295195001078
47,0.017563586627738763,0.03799416081432968,0.04496432719429235,0.044660325170343386,0.1020242914979757
48,0.01568952365922302,0.039309292722060026,0.03950481807894105,0.039315352697095435,0.10620233858668023
49,0.018346090112838317,0.04072305952287014,0.04504504504504504,0.04485294117647059,0.09837429950618654
50,0.019332439043636077,0.04092690496856835,0.037627362279626264,0.03635432667690732,0.10555642756239209
51,0.01797127751913517,0.04209737236644835,0.032616476300146274,0.03231518370960602,0.09140212258637617
52,0.017372892501117863,0.03783634498540204,0.033528975241179246,0.033528975241179246,0.07681159420289856
53,0.01721507667219022,0.04333359635971488,0.0349003984063745,0.03321154669036569,0.11874499835239843
54,0.017793734711591572,0.038382124727110126,0.04138507862161258,0.04180240732485169,0.12119389519584993
55,0.01705726084326258,0.03602146295273416,0.035925706674559715,0.035432467631962,0.09445464388269077
56,0.018556511218075174,0.04121623398826902,0.041981646214971344,0.04160756501182033,0.10994967092528068
57,0.017090139140955838,0.04134117151950341,0.03942327994449974,0.03903041531573259,0.10915454742782722
58,0.0184710276440727,0.045911254898866355,0.034375,0.03347135955831608,0.1007905138339921
59,0.01678765880217786,0.038145400983718665,0.03697445861845625,0.0361792833275723,0.1073215204076862
60,0.018503905941765958,0.03879639127804519,0.038622411117857386,0.03829541203278577,0.09903838873324752
61,0.017662221520818536,0.03533101870117573,0.03195657852726903,0.03168993168993169,0.10008894469732643
62,0.01774112943528236,0.038033614771561586,0.03862948207171315,0.038136546184738954,0.11691699604743083
63,0.01801073147636708,0.03815855230279597,0.03903041531573259,0.03704417670682731,0.11100880903797343
64,0.019845340487650912,0.03750756200846945,0.03371550719005052,0.030946804951488792,0.10244621279104038
65,0.019062837002551358,0.040874299692259135,0.03729718747278902,0.03701738874152667,0.09812461854297287
66,0.018622267813461692,0.039342171019753285,0.03656224899598393,0.03643724696356275,0.095857621582045
67,0.0180896393908309,0.03629106499381888,0.035632183908045977,0.035381413446746904,0.10706443552661467
68,0.018911596833162365,0.03906599331912991,0.04085246316322014,0.039903614457831325,0.08795954626212929
69,0.0190299587048581,0.03876351298035193,0.041105419591475366,0.04096385542168675,0.1064653503677894
70,0.020009731976117204,0.03813224966464136,0.03696957431019362,0.036384211789719144,0.10437214031520081
71,0.01812909334806281,0.03798100949525238,0.035018407111430366,0.03489785992217899,0.10160091480846198
72,0.016846839738025723,0.0395986217417607,0.0380394780863165,0.035669456066945604,0.10556715917588509
73,0.01873405402561877,0.04104526684026408,0.034492458071094544,0.03464170478317909,0.10612160091421448
74,0.017622767563586626,0.03861884847050159,0.040754190968783244,0.03970741901776385,0.11726046350743688
75,0.018405271048686184,0.04009179620715958,0.039394422310756974,0.039004016064257026,0.10607285025889678
76,0.020285909676740578,0.04195928351613667,0.03965371776530575,0.0396810328460224,0.10891858950111377
77,0.018819537599621242,0.03922380914805755,0.03660208853415843,0.035328613316169634,0.09941273080177176
78,0.018727478366080116,0.03859254583234698,0.032221669155467064,0.031119273543515968,0.08881199538638986
79,0.01907598832162866,0.03354901496620111,0.04214368674298988,0.04149236472468796,0.08755457964210898
80,0.018536784239459217,0.03777058839001552,0.03187604155586285,0.031400168739224535,0.10393995273095603
81,0.020476603803361478,0.04124253662642363,0.03582407930234017,0.03588819325871119,0.1037916686147085
82,0.01820800126252663,0.03654094005628765,0.03564727954971857,0.03464211023409566,0.10103911464053392
83,0.01778715905205292,0.03926326310528946,0.0366421568627451,0.034954454222633935,0.11637351018838908
84,0.017596464925432022,0.037178779031536865,0.0385103391516066,0.03783270630427903,0.09582946129368365
